Alimento,Categoria,Quant. (g),Energia (kcal),CHO (g),PTN (g),LIP (g),Fibra (g),Colesterol (mg),AG-Sat. (g),AG-Mono. (g),AG-Poli. (g),? 6 (g),? 3 (g),AG-trans (g),Ca (mg),Mg (mg),Mn (mcg),P (mg),Fe (mg),Na (mg),K (mg),Cu (mg),Zn (mg),Sel (mcg),Vit. A (mcg),Vit. B1 (mg),Vit. B2 (mg),Vit. B3 (mg),Vit. B5 (mg),Vit. B6 (mg),Vit. B12 (mcg),Vit. B9 (mcg),Vit. D (mcg),Vit. E (mg),Vit. C (mg)
Abacate,Frutas,100,75.00,5.84,1.15,6.21,4.03,0.00,1.70,3.18,1.04,1.58,0.10,0.00,7.16,17.00,0.15,18.50,0.17,0.00,174.00,0.12,0.23,0.20,3.11,0.00,0.04,0.00,-,0.00,0.00,41.50,0.00,0.02,7.32
Abacaxi (polpa),Frutas,100,49.00,11.60,0.68,0.33,1.12,0.00,0.02,0.03,0.10,0.02,0.02,0.00,18.40,16.60,1.49,10.50,0.47,2.84,137.00,0.12,0.15,0.41,1.00,0.17,0.02,0.00,-,0.00,0.00,11.30,0.00,0.05,33.10
Abiu,Frutas,100,65.00,14.90,0.83,0.70,1.70,0.00,0.30,0.10,0.10,0.10,0.02,0.00,5.78,9.30,0.08,20.30,0.16,0.00,128.00,0.09,0.10,0.00,0.00,0.00,0.04,0.00,-,0.05,0.00,0.00,0.00,0.00,10.30
Açaí,Frutas,100,67.00,7.66,0.90,5.01,5.89,0.00,1.01,3.43,0.32,0.00,0.00,0.00,20.80,20.90,7.57,20.20,0.59,1.69,110.00,0.20,0.23,0.70,14.30,0.00,0.04,0.00,-,0.08,0.00,0.00,0.00,14.80,42.00
Acerola,Frutas,100,30.00,6.89,0.71,0.38,1.75,0.00,0.09,0.10,0.11,0.05,0.04,0.00,36.80,10.90,0.05,21.40,0.00,0.67,138.00,0.05,0.11,0.58,103.00,0.00,0.07,0.69,-,0.00,0.00,13.60,0.00,0.00,1505.00
Ameixa,Frutas,100,54.00,13.80,0.77,0.00,2.43,0.00,0.00,0.00,0.00,0.04,0.00,0.00,5.72,5.48,0.03,13.90,0.10,0.00,134.00,0.06,0.05,0.00,15.20,0.07,0.00,0.00,-,0.03,0.00,5.95,0.00,0.05,7.63
Ameixa seca,Frutas,100,253.00,63.90,2.18,0.38,7.10,0.00,0.09,0.05,0.06,0.04,0.00,0.00,43.00,41.00,0.30,69.00,0.93,2.00,732.00,0.28,0.44,0.30,39.00,0.05,0.19,1.88,-,0.21,0.00,4.00,0.00,0.43,0.60
Amora preta,Frutas,100,35.00,6.74,1.39,0.49,0.49,0.00,0.01,0.05,0.28,0.19,0.09,0.00,21.80,15.00,0.00,16.50,0.47,0.75,121.00,0.00,0.40,0.00,11.00,0.02,0.02,0.49,-,0.02,0.00,18.80,0.00,1.17,15.80
Atemóia,Frutas,100,103.00,25.30,0.97,0.30,2.14,0.00,0.10,0.00,0.10,0.05,0.04,0.00,22.80,24.80,0.16,23.40,0.16,0.79,300.00,0.17,0.19,0.00,0.00,0.09,0.07,1.58,-,0.07,0.00,0.00,0.00,0.00,10.10
Banana da terra (assada),Frutas,100,164.00,39.70,1.69,0.28,1.80,0.00,0.09,0.00,0.00,0.05,0.03,0.00,3.67,34.90,0.19,30.10,0.35,0.00,348.00,0.04,0.06,0.19,119.00,0.03,0.02,0.00,-,0.16,0.00,20.40,0.00,0.09,14.90
Banana da terra,Frutas,100,139.00,33.70,1.43,0.24,1.53,0.00,0.08,0.00,0.00,0.05,0.03,0.00,3.28,29.60,0.84,25.50,0.29,0.00,328.00,0.05,0.16,0.30,119.00,0.03,0.02,0.00,-,0.14,0.00,23.00,0.00,0.07,15.70
Banana maçã,Frutas,100,108.00,26.30,1.49,0.27,2.38,0.00,0.09,0.00,0.00,0.05,0.03,0.00,3.73,27.50,0.69,33.20,0.23,0.00,306.00,0.13,0.14,0.13,3.21,0.00,0.00,0.00,-,0.17,0.00,22.90,0.00,0.06,12.10
Banana prata,Frutas,100,106.00,25.90,1.11,0.28,1.95,0.00,0.09,0.00,0.06,0.05,0.03,0.00,6.18,29.20,0.42,22.20,0.38,0.00,357.00,0.05,0.15,0.10,16.20,0.00,0.02,0.00,-,0.10,0.00,22.40,0.00,0.08,21.60
Cacau,Frutas,100,78.00,19.40,0.95,0.14,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.10,24.60,0.04,9.34,0.26,0.70,71.60,0.15,0.59,0.00,0.00,0.25,0.00,0.00,-,0.04,0.00,0.00,0.00,0.00,13.60
Cajá,Frutas,100,45.00,11.40,1.28,0.00,2.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.70,11.30,0.05,24.50,0.15,1.44,119.00,0.02,0.18,0.00,0.00,0.11,0.00,0.00,-,0.05,0.00,0.00,0.00,0.00,26.70
Caju (polpa),Frutas,100,39.00,9.35,0.48,0.15,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,7.07,0.05,9.77,0.15,4.16,87.70,0.07,0.08,0.00,9.09,0.00,0.02,2.25,-,0.00,0.00,0.00,0.00,0.00,118.00
Caqui,Frutas,100,67.00,18.30,0.48,0.20,4.56,0.00,0.02,0.04,0.05,0.04,0.04,0.00,12.70,7.07,3.73,17.60,0.09,2.09,156.00,0.00,0.11,0.20,119.00,0.00,0.00,0.00,-,0.03,0.00,7.89,0.00,0.77,20.60
Carambola,Frutas,100,46.00,11.50,0.87,0.18,2.03,0.00,0.01,0.02,0.10,0.16,0.03,0.00,4.79,7.36,0.13,10.70,0.20,4.09,132.00,0.08,0.24,0.42,1.65,0.12,0.00,0.00,-,0.00,0.00,8.32,0.00,0.08,60.90
Cereja,Frutas,100,65.00,16.00,1.06,0.20,2.10,0.00,0.04,0.05,0.05,0.03,0.03,0.00,64.00,11.00,0.07,21.00,0.36,0.00,222.00,0.06,0.07,2.00,3.00,0.03,0.03,0.15,-,0.05,0.00,4.00,0.00,0.07,7.00
Ciriguela,Frutas,100,76.00,18.90,1.40,0.36,3.90,0.00,0.20,0.00,0.10,0.07,0.03,0.00,27.40,18.00,0.06,48.60,0.36,1.68,248.00,0.12,0.53,0.00,0.00,0.14,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,27.00
Chanberry,Frutas,100,43.70,12.00,0.46,0.13,3.60,0.00,0.01,0.02,0.06,-,-,0.00,8.00,6.00,0.27,11.00,0.23,2.00,80.00,0.06,0.09,0.10,3.00,0.01,0.02,0.10,-,0.06,0.00,1.00,0.00,1.32,14.00
Cupuaçu,Frutas,100,52.00,10.50,1.11,1.25,2.42,0.00,0.52,0.26,0.13,0.03,0.09,0.00,8.90,13.50,0.13,16.30,0.40,1.96,294.00,0.12,0.35,0.70,0.00,0.37,0.04,4.34,-,0.07,0.00,0.00,0.00,0.00,24.50
Damasco seco,Frutas,100,254.00,62.70,3.39,0.51,7.30,0.00,0.02,0.07,0.07,-,-,0.00,55.00,32.00,0.24,71.00,2.66,10.00,1162.00,0.34,0.39,2.20,10.00,0.02,0.07,2.59,-,0.14,0.00,10.00,0.00,4.33,1.00
Figo,Frutas,100,42.00,10.20,0.97,0.16,1.79,0.00,0.03,0.03,0.08,0.14,0.00,0.00,27.40,11.30,0.06,14.60,0.20,0.00,174.00,0.13,0.09,0.11,3.70,0.05,0.00,0.00,-,0.00,0.00,3.39,0.00,0.06,0.79
Framboesa,Frutas,100,45.40,11.90,1.20,0.65,6.50,0.00,0.19,0.06,0.38,-,-,0.00,25.00,22.00,0.67,29.00,0.69,1.00,151.00,0.09,0.42,0.20,2.00,0.03,0.04,0.60,-,0.06,0.00,21.00,0.00,0.87,26.20
Fruta pão,Frutas,100,63.00,17.20,1.08,0.19,5.55,0.00,0.10,0.00,0.00,0.05,0.02,0.00,33.70,24.00,0.04,27.40,0.23,0.80,188.00,0.07,0.13,0.39,0.00,0.03,0.00,0.00,-,0.00,0.00,9.13,0.00,0.08,9.87
Goiaba branca,Frutas,100,45.00,12.30,0.79,0.51,5.98,0.00,0.06,0.00,0.24,0.29,0.11,0.00,4.93,6.94,0.07,16.20,0.17,0.00,216.00,0.04,0.15,0.40,16.80,0.00,0.00,0.00,-,0.03,0.00,36.00,0.00,0.39,97.70
Goiaba vermelha,Frutas,100,50.00,13.30,0.92,0.54,5.59,0.00,0.07,0.00,0.32,0.29,0.11,0.00,7.18,9.60,0.10,17.00,0.19,0.00,218.00,0.04,0.17,0.40,57.70,0.00,0.00,0.00,-,0.03,0.00,43.40,0.00,0.41,89.10
Graviola,Frutas,100,64.00,15.80,0.85,0.21,1.91,0.00,0.00,0.10,0.00,0.01,0.02,0.00,40.10,23.50,0.08,19.20,0.17,4.16,249.00,0.04,0.13,0.00,0.00,0.17,0.12,0.00,-,0.03,0.00,0.00,0.00,0.00,19.10
Jabuticaba,Frutas,100,60.00,15.30,0.61,0.13,2.30,0.00,0.00,0.00,0.00,0.16,0.09,0.00,8.35,17.80,0.30,14.50,0.09,0.00,129.00,0.07,0.28,0.00,0.00,0.06,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,16.20
Jaca,Frutas,100,93.00,22.50,1.40,0.26,2.39,0.00,0.10,0.10,0.00,0.06,0.02,0.00,11.20,40.10,0.48,13.90,0.38,1.80,233.00,0.09,0.17,0.00,0.00,0.10,0.04,0.00,-,0.05,0.00,22.50,0.00,0.14,14.80
Jambo,Frutas,100,19.00,6.49,0.89,0.07,5.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.80,14.20,0.05,18.40,0.14,21.70,134.00,0.02,0.11,0.00,0.00,0.08,0.00,1.18,-,0.00,0.00,0.00,0.00,0.00,3.77
Jamelão,Frutas,100,42.00,10.60,0.55,0.11,1.78,0.00,0.00,0.00,0.00,0.16,0.09,0.00,3.09,2.16,0.00,4.12,0.05,1.37,394.00,0.03,0.05,0.00,0.00,0.17,0.00,0.00,-,0.12,0.00,0.00,0.00,0.00,27.10
Kiwi,Frutas,100,58.00,12.70,1.25,1.00,2.92,0.00,0.09,0.16,0.56,0.25,0.04,0.00,27.90,11.20,0.06,36.40,0.28,0.00,295.00,0.16,0.12,0.10,2.71,0.00,0.00,0.00,-,0.06,0.00,22.90,0.00,2.80,70.80
Laranja baía,Frutas,100,47.00,11.10,0.91,0.28,1.46,0.00,0.00,0.00,0.00,0.02,0.01,0.00,34.60,9.01,0.04,23.00,0.14,0.00,170.00,0.04,0.06,0.30,2.04,0.06,0.02,0.00,-,0.00,0.00,28.50,0.00,0.42,55.50
Laranja,Frutas,100,45.00,10.80,0.90,0.24,2.02,0.00,0.00,0.00,0.00,0.02,0.01,0.00,29.90,10.90,0.05,20.20,0.12,0.53,159.00,0.04,0.11,0.30,1.48,0.07,0.04,0.00,-,0.03,0.00,28.10,0.00,0.36,47.30
Laranja lima,Frutas,100,43.00,10.30,0.95,0.25,1.98,0.00,0.00,0.00,0.00,0.02,0.01,0.00,28.80,9.30,0.05,13.30,0.11,1.02,118.00,0.03,0.11,0.30,1.48,0.09,0.05,0.00,-,0.04,0.00,26.90,0.00,0.38,39.80
Laranja pera,Frutas,100,37.00,8.63,0.87,0.21,1.36,0.00,0.00,0.00,0.00,0.02,0.01,0.00,21.30,8.36,0.05,22.00,0.09,0.00,158.00,0.03,0.06,0.30,0.92,0.06,0.02,0.00,-,0.02,0.00,22.90,0.00,0.31,52.20
Laranja seleta,Frutas,100,51.00,12.80,0.83,0.36,2.87,0.00,0.00,0.00,0.00,0.02,0.01,0.00,34.70,12.60,0.06,23.40,0.14,0.99,184.00,0.04,0.13,0.30,1.48,0.08,0.05,0.00,-,0.04,0.00,32.50,0.00,0.54,54.90
Limão cravo,Frutas,100,22.00,5.25,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.00,10.20,8.86,0.03,11.10,0.08,0.00,119.00,0.03,0.00,0.20,15.70,0.00,0.00,0.00,-,0.00,0.00,5.44,0.00,0.15,32.80
Maçã verde,Frutas,100,48.00,13.00,0.30,0.00,2.40,0.00,0.00,0.00,0.00,0.04,0.01,0.00,4.00,4.00,0.00,9.00,0.16,2.00,107.00,0.00,0.06,0.00,0.00,0.03,0.01,0.10,-,0.50,0.00,0.00,0.00,0.50,5.00
Maçã argentina,Frutas,100,65.00,16.60,0.22,0.25,2.03,0.00,0.10,0.00,0.00,0.04,0.01,0.00,3.39,4.86,0.01,11.40,0.05,1.32,117.00,0.03,0.00,0.00,3.50,0.05,0.00,0.00,-,0.00,0.00,3.60,0.00,0.26,1.49
Maçã fuji,Frutas,100,59.00,15.20,0.29,0.00,1.35,0.00,0.00,0.00,0.00,0.04,0.01,0.00,1.92,2.04,0.03,9.08,0.09,0.00,74.70,0.06,0.00,0.00,3.50,0.00,0.00,0.00,-,0.03,0.00,3.25,0.00,0.18,2.41
Macaúba,Frutas,100,403.00,13.90,2.08,40.70,13.40,0.00,7.10,25.30,6.50,-,-,0.00,66.50,66.10,0.08,43.90,0.81,0.65,305.00,0.35,0.66,0.00,510.00,0.11,0.11,0.00,-,0.03,0.00,0.00,0.00,0.00,13.40
Mamão formosa,Frutas,100,46.00,11.60,0.82,0.12,1.81,0.00,0.04,0.03,0.03,0.01,0.03,0.00,24.90,17.30,0.04,10.90,0.23,3.26,221.00,1.36,0.07,0.30,43.00,0.03,0.03,0.00,-,0.00,0.00,40.50,0.00,0.14,78.50
Mamão papaia,Frutas,100,42.00,10.20,0.50,0.20,1.03,0.00,0.06,0.06,0.05,0.01,0.03,0.00,15.00,16.20,0.01,10.60,0.19,1.61,124.00,0.02,0.07,0.30,59.00,0.03,0.04,1.02,-,0.00,0.00,35.00,0.00,0.23,81.40
Mamão,Frutas,100,43.00,10.70,0.57,0.25,1.83,0.00,0.08,0.07,0.06,0.01,0.03,0.00,18.30,16.60,0.03,10.80,0.21,2.44,173.00,0.69,0.07,0.30,57.50,0.03,0.04,0.52,-,0.00,0.00,37.20,0.00,0.29,80.40
Manga haden (polpa),Frutas,100,67.00,16.70,0.41,0.26,1.58,0.00,0.10,0.10,0.00,0.01,0.04,0.00,8.73,7.96,0.17,9.30,0.10,0.55,147.00,0.10,0.07,0.90,104.00,0.02,0.06,0.00,-,0.05,0.00,46.00,0.00,0.61,17.40
Manga palmer (polpa),Frutas,100,77.00,19.40,0.41,0.17,1.63,0.00,0.08,0.08,0.00,0.01,0.04,0.00,11.60,8.73,0.05,14.00,0.09,1.86,156.00,0.09,0.09,0.90,396.00,0.09,0.03,0.00,-,0.00,0.00,52.70,0.00,0.41,65.50
Manga tommy (polpa),Frutas,100,52.00,12.80,0.86,0.22,2.07,0.00,0.10,0.10,0.00,0.01,0.04,0.00,7.64,7.40,0.34,13.80,0.08,0.00,138.00,0.06,0.08,0.90,90.40,0.00,0.04,0.00,-,0.03,0.00,36.90,0.00,0.52,7.94
Maracujá (polpa),Frutas,100,73.00,12.30,1.99,2.10,1.14,0.00,0.22,0.28,0.94,0.41,0.00,0.00,5.35,22.30,0.12,50.70,0.56,1.58,338.00,0.19,0.39,0.80,54.10,0.00,0.05,0.00,-,0.05,0.00,9.21,0.00,0.06,19.80
Melancia (polpa),Frutas,100,29.00,6.52,0.70,0.05,0.13,0.00,0.00,0.00,0.00,0.05,0.00,0.00,8.06,8.06,0.11,9.79,0.18,0.00,83.60,0.00,0.08,0.60,30.50,0.00,0.00,0.00,-,0.00,0.00,2.63,0.00,0.00,4.94
Melão (polpa),Frutas,100,24.00,5.70,0.61,0.15,1.22,0.00,0.04,0.00,0.06,0.03,0.03,0.00,2.53,4.93,0.04,8.14,0.19,8.96,173.00,0.03,0.07,0.20,0.83,0.00,0.00,0.00,-,0.02,0.00,6.87,0.00,0.08,6.97
Mexerica murcote,Frutas,100,58.00,14.90,0.88,0.13,3.07,0.00,0.02,0.03,0.03,0.05,0.02,0.00,33.10,12.30,0.05,19.50,0.07,1.17,158.00,0.06,0.10,0.11,14.70,0.08,0.07,0.00,-,0.05,0.00,17.60,0.00,0.09,21.80
Mexerica rio,Frutas,100,35.00,9.34,0.65,0.13,2.73,0.00,0.02,0.02,0.03,0.05,0.02,0.00,17.20,8.21,0.05,13.70,0.09,1.82,124.00,0.07,0.15,0.07,14.10,0.03,0.00,0.00,-,0.00,0.00,11.30,0.00,0.08,111.00
Mirtilo,Frutas,100,59.10,14.50,0.74,0.33,2.40,0.00,0.03,0.05,0.15,-,-,0.00,6.00,6.00,0.34,12.00,0.28,1.00,77.00,0.06,0.16,0.10,3.00,0.04,0.04,0.42,-,0.05,0.00,6.00,0.00,0.57,9.70
Morango,Frutas,100,30.00,6.54,0.82,0.40,1.67,0.00,0.02,0.06,0.30,0.09,0.07,0.00,15.40,11.00,0.19,28.80,0.28,11.00,102.00,0.05,0.09,0.36,4.46,0.00,0.03,0.00,-,0.03,0.00,21.80,0.00,0.39,69.80
Nêspera,Frutas,100,41.00,11.50,0.31,0.00,2.96,0.00,0.00,0.00,0.00,0.08,0.01,0.00,19.70,9.72,0.07,10.10,0.15,0.00,112.00,0.12,0.12,0.55,92.10,0.00,0.00,0.00,-,0.00,0.00,12.90,0.00,0.00,3.16
Pequi (polpa),Frutas,100,185.00,13.10,2.34,18.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.30,38.50,0.61,35.20,0.60,1.74,167.00,0.44,0.72,0.00,28.80,0.17,0.48,2.57,-,0.06,0.00,0.00,0.00,0.00,8.28
Pera park,Frutas,100,61.00,16.10,0.24,0.23,2.98,0.00,0.10,0.00,0.10,0.03,0.00,0.00,8.71,6.12,0.04,11.70,0.32,0.98,102.00,0.08,0.07,0.10,0.00,0.06,0.00,0.00,-,0.00,0.00,7.34,0.00,0.20,2.36
Pera williams,Frutas,100,53.00,14.00,0.57,0.11,3.01,0.00,0.05,0.00,0.05,0.03,0.00,0.00,8.28,5.78,0.04,11.80,0.09,0.00,115.00,0.07,0.08,0.09,0.00,0.00,0.00,0.00,-,0.00,0.00,6.53,0.00,0.09,2.83
Pêssego,Frutas,100,41.00,10.10,0.88,0.18,1.89,0.00,0.01,0.05,0.06,0.08,0.00,0.00,2.92,6.97,0.06,16.80,0.24,0.00,134.00,0.02,0.09,0.10,23.50,0.05,0.00,0.00,-,0.00,0.00,4.18,0.00,0.53,3.55
Pinha,Frutas,100,91.00,22.40,1.49,0.32,3.36,0.00,0.10,0.00,0.10,0.05,0.04,0.00,20.90,30.50,0.15,34.40,0.21,1.34,283.00,0.11,0.24,0.00,0.00,0.12,0.04,0.00,-,0.09,0.00,0.00,0.00,0.00,35.90
Pitanga,Frutas,100,36.00,9.25,0.84,0.20,2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.80,11.10,0.26,16.00,0.35,1.43,201.00,0.07,0.20,0.00,68.40,0.03,0.10,0.00,-,0.00,0.00,0.00,0.00,0.00,24.90
Pupunha,Frutas,100,212.00,35.40,2.59,8.14,6.39,0.00,1.96,4.33,0.23,0.18,0.02,0.00,19.80,18.70,0.10,50.00,0.46,0.32,250.00,0.29,0.27,3.41,196.00,0.00,0.09,0.00,-,0.03,0.00,0.00,0.00,0.00,2.24
Romã,Frutas,100,61.00,15.50,0.40,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.75,12.70,0.13,40.30,0.26,0.59,484.00,0.19,0.67,0.00,0.00,0.12,0.17,0.00,-,0.05,0.00,0.00,0.00,0.00,8.12
Tâmara seca,Frutas,100,310.00,80.10,2.00,0.20,9.70,0.00,0.00,0.00,0.00,-,-,0.00,47.00,50.00,0.47,58.00,2.60,14.00,730.00,0.19,0.60,0.00,0.00,0.00,0.10,1.40,-,0.00,0.00,0.00,0.00,0.00,5.00
Tamarindo,Frutas,100,294.00,72.50,3.21,0.46,6.45,0.00,0.10,0.20,0.00,0.06,0.00,0.00,37.10,59.10,0.34,54.60,0.55,0.36,722.00,0.29,0.67,0.00,0.00,0.31,0.00,0.00,-,0.10,0.00,0.00,0.00,0.00,7.25
Tangerina ponkã,Frutas,100,40.00,9.54,0.85,0.07,0.94,0.00,0.00,0.00,0.00,0.05,0.02,0.00,12.90,7.73,0.04,12.50,0.11,0.00,131.00,0.03,0.00,0.00,24.60,0.06,0.02,0.00,-,0.02,0.00,11.60,0.00,0.05,48.80
Tucumã,Frutas,100,260.00,26.50,2.09,19.10,12.70,0.00,4.69,9.68,0.88,0.00,0.00,0.00,46.30,121.00,0.55,52.50,0.57,3.89,401.00,0.39,0.87,0.00,1181.00,0.04,0.00,0.00,-,0.11,0.00,0.00,0.00,0.00,18.00
Umbu,Frutas,100,37.00,9.44,0.84,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.60,11.30,0.03,13.40,0.09,0.00,151.00,0.04,0.42,0.00,0.00,0.05,0.06,0.00,-,0.03,0.00,0.00,0.00,0.00,24.10
Uva passa,Frutas,100,325.00,79.20,3.07,0.46,3.70,0.00,0.06,0.05,0.04,0.03,0.01,0.00,50.00,32.00,0.00,101.00,1.88,11.00,749.00,0.00,0.22,0.00,0.00,0.11,0.13,0.77,-,0.17,0.00,5.00,0.00,0.12,2.30
Uva itália,Frutas,100,56.00,13.50,0.77,0.19,0.92,0.00,0.06,0.01,0.06,0.04,0.01,0.00,6.66,4.98,0.13,12.10,0.14,0.00,161.00,0.11,0.00,0.10,2.67,0.00,0.00,0.00,-,0.03,0.00,1.53,0.00,0.23,3.29
Uva rubi,Frutas,100,50.00,12.10,0.54,0.17,0.89,0.00,0.06,0.01,0.05,0.04,0.01,0.00,7.22,5.53,0.07,21.60,0.16,7.51,150.00,0.05,0.00,0.10,2.67,0.02,0.02,0.00,-,0.00,0.00,1.36,0.00,0.21,1.77
Açafrão,Condimentos e especiarias,100,352.00,65.40,11.40,5.85,3.90,0.00,1.59,0.43,2.07,0.75,1.24,0.00,111.00,264.00,28.40,252.00,11.10,148.00,1724.00,0.33,1.09,5.60,27.00,0.12,0.27,1.46,-,1.01,0.00,93.00,0.00,0.00,80.80
Alcaparra,Condimentos e especiarias,100,36.00,4.89,2.36,0.86,0.00,0.00,0.23,0.06,0.30,0.11,0.18,0.00,40.00,33.00,0.08,10.00,1.67,2348.00,40.00,0.37,0.32,1.20,7.00,0.02,0.14,0.65,-,0.02,0.00,23.00,0.00,0.88,4.30
Alecrim,Condimentos e especiarias,100,327.00,64.10,4.88,15.20,42.60,0.00,7.37,3.01,2.34,-,-,0.00,1280.00,220.00,1.87,70.00,29.30,50.00,955.00,0.55,3.23,4.60,156.00,0.51,0.43,1.00,-,1.74,0.00,307.00,0.00,0.00,61.20
Azeitona preta,Condimentos e especiarias,100,201.00,5.54,1.16,20.30,4.55,0.00,3.50,11.00,3.00,1.22,0.09,0.00,58.80,4.76,0.05,16.00,5.45,1566.00,78.60,0.25,0.29,0.00,0.00,0.00,0.00,0.00,-,0.04,0.00,0.00,0.00,3.14,0.00
Azeitona verde,Condimentos e especiarias,100,140.00,4.10,0.95,14.20,3.85,0.00,2.30,8.30,1.00,1.22,0.09,0.00,45.60,3.94,0.03,5.36,0.18,1347.00,19.80,0.14,0.08,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,2.88,0.00,3.54,0.00
Canela,Condimentos e especiarias,100,243.00,80.60,3.99,1.24,53.10,0.00,0.35,0.25,0.07,-,-,0.00,1002.00,60.00,17466.00,64.00,8.32,10.00,431.00,0.40,1.83,3.10,15.00,0.02,0.04,1.33,-,0.16,0.00,6.00,0.00,2.32,3.80
Caruru,Condimentos e especiarias,100,33.00,5.97,3.20,0.58,4.47,0.00,0.10,0.00,0.30,0.07,0.09,0.00,455.00,197.00,0.89,77.30,4.46,13.70,278.00,0.37,6.03,1.34,969.00,0.00,0.10,0.00,-,0.11,0.00,126.00,0.00,0.00,5.36
Coentro,Condimentos e especiarias,100,22.00,3.67,2.13,0.52,2.80,0.00,0.01,0.28,0.04,0.33,0.00,0.00,67.00,26.00,0.43,48.00,1.77,46.00,521.00,0.23,0.50,0.90,337.00,0.07,0.16,1.11,-,0.15,0.00,62.00,0.00,2.50,27.00
Cravo em pó,Condimentos e especiarias,100,335.00,65.50,5.97,13.00,33.90,0.00,3.95,1.39,3.61,-,-,0.25,632.00,259.00,60.10,104.00,11.80,277.00,1020.00,0.37,2.32,7.20,8.00,0.16,0.22,1.56,-,0.39,0.00,25.00,0.00,8.82,0.20
Curry em pó,Condimentos e especiarias,100,400.00,61.80,12.30,11.60,33.20,0.00,1.36,7.25,2.52,-,-,0.00,531.00,257.00,0.00,371.00,19.30,52.60,1183.00,0.00,4.75,0.00,0.83,0.18,0.20,3.30,-,0.11,0.00,56.70,0.00,20.80,0.71
Hortelã,Condimentos e especiarias,100,39.00,8.40,3.29,0.73,6.80,0.00,0.19,0.03,0.39,0.00,0.00,0.00,199.00,63.00,1.12,60.00,11.90,30.00,458.00,0.24,1.09,0.00,203.00,0.08,0.18,0.95,-,0.16,0.00,105.00,0.00,0.00,13.30
Noz moscada em pó,Condimentos e especiarias,100,505.00,49.30,5.84,36.30,20.80,0.00,25.90,3.22,0.35,38.09,9.08,0.00,184.00,183.00,2.90,213.00,3.04,16.00,350.00,1.03,2.15,1.60,5.00,0.35,0.06,1.30,-,0.16,0.00,76.00,0.00,0.00,3.00
Orégano,Condimentos e especiarias,100,265.00,68.90,9.00,4.28,42.50,0.00,1.55,0.72,1.37,1.05,4.18,0.00,1597.00,270.00,4900.00,148.00,36.80,25.00,1260.00,0.63,2.69,4.50,85.00,0.18,0.53,4.64,-,1.04,0.00,237.00,0.00,18.30,2.30
Páprica,Condimentos e especiarias,100,318.00,54.00,14.10,12.90,34.90,0.00,2.14,1.70,7.77,-,-,0.00,229.00,178.00,1.59,314.00,21.10,68.00,2280.00,0.71,4.33,0.71,2463.00,0.33,1.23,10.10,-,2.14,0.00,49.00,0.00,29.10,0.90
Pimenta branca,Condimentos e especiarias,100,306.00,74.50,10.40,2.12,26.20,0.00,0.63,0.79,0.62,0.97,0.16,0.00,265.00,90.00,4300.00,176.00,14.30,5.00,73.00,0.91,1.13,3.10,0.00,0.02,0.13,0.21,-,0.10,0.00,10.00,0.00,0.00,21.00
Pimenta jalapeno,Condimentos e especiarias,100,27.00,6.50,0.91,0.37,2.80,0.00,0.09,0.03,0.11,0.97,0.16,0.00,12.00,15.00,0.10,26.00,0.25,3.00,248.00,0.05,0.14,0.40,54.00,0.04,0.07,1.28,-,0.42,0.00,27.00,0.00,3.58,118.00
Pimenta preta,Condimentos e especiarias,100,297.00,69.40,10.40,3.26,25.30,0.00,1.33,0.74,1.00,0.97,0.16,0.00,443.00,171.00,12753.00,158.00,9.71,20.00,1329.00,1330.00,1.19,4.90,27.00,0.11,0.18,1.14,-,0.29,0.00,17.00,0.00,1.04,0.00
Pimenta vermelha,Condimentos e especiarias,100,375.00,56.60,12.00,17.30,27.20,0.00,3.26,2.75,8.37,0.97,0.16,0.00,148.00,152.00,2.00,293.00,7.80,30.00,2014.00,0.37,2.48,8.80,2081.00,0.33,0.92,8.70,-,2.45,0.00,106.00,0.00,29.80,76.40
Abóbora,Verduras e legumes,100,21.00,5.03,1.05,0.18,2.02,0.00,0.04,0.03,0.02,0.00,0.00,0.00,9.64,5.54,0.05,19.20,0.22,0.19,225.00,0.05,0.14,1.10,355.00,0.00,0.00,0.00,-,0.07,0.00,12.90,0.00,1.91,4.58
Abobrinha,Verduras e legumes,100,17.00,3.71,1.01,0.12,1.28,0.00,0.03,0.00,0.03,0.05,0.08,0.00,13.40,17.70,0.08,28.30,0.21,0.00,224.00,0.06,0.15,0.10,20.30,0.00,0.03,0.00,-,0.03,0.00,24.90,0.00,0.05,5.87
